utr_id	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr5p8	utr5p7m8	utr5p7A1	utr5p6	utr5po6	utr5p6A1	orf8	orf7m8	orf7A1	orf6	orfo6	orf6A1	utr8C	utr8G	utr8T	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1	utr5	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2.fold_change.	test_stat	p_value	q_value	significant
FBgn0000008	-0.0939149203864482	0.575	3990	0.349	876	0.326	307	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	FBgn0000008	a-RA,a-RB,a-RC,a-RD	chr2R:22136967-22174691	mock	miR994	OK	5.55784	5.10753	-0.1219	-0.195102	0.81475	0.922614	no
FBgn0000017	-1.50563251923664	0.583	5172	0.456	739	0.344	6908	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	5	2	0	FBgn0000017	Abl-RA,Abl-RB,Abl-RC,Abl-RD,Abl-RE,Abl-RF,Abl-RG,Abl-RH,Abl-RI,Abl-RJ	chr3L:16615865-16647882	mock	miR994	OK	11.0127	38.2194	1.79514	5.94012	5e-05	0.000926448	yes
FBgn0000018	0.336966277195774	0.506	1620	0.469	81	0.237	93	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000018	abo-RA	chr2L:10973442-10975293	mock	miR994	OK	71.4411	69.9053	-0.0313517	-0.1132	0.8901	0.954735	no
FBgn0000032	0.0984924696260212	0.511	1368	0.481	81	0.334	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000032	Acph-1-RA,Acph-1-RB	chr3R:29991143-29993411	mock	miR994	OK	21.6142	28.1702	0.382188	1.05047	0.19055	0.461202	no
FBgn0000042	-0.434140197728179	0.591	1131	0.373	161	0.403	1571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	FBgn0000042	Act5C-RA,Act5C-RB,Act5C-RC,Act5C-RD,Act5C-RE	chrX:5900860-5905399	mock	miR994	OK	2259.33	1893.3	-0.254995	-1.24755	0.1191	0.348627	no
FBgn0000043	0.366110767723163	0.554	1131	0.363	135	0.397	360	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000043	Act42A-RA	chr2R:6013909-6015689	mock	miR994	OK	2956.02	3401.14	0.202359	1.02611	0.2044	0.477626	no
FBgn0000052	0.317113667344695	0.565	4065	0.597	139	0.241	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000052	ade2-RA,ade2-RB,ade2-RC	chr2L:6038116-6046050	mock	miR994	OK	61.3407	59.9699	-0.0326055	-0.13307	0.8647	0.945522	no
FBgn0000053	-0.323978624779669	0.569	4062	0.461	193	0.246	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	FBgn0000053	ade3-RA,ade3-RB,ade3-RC	chr2L:7013395-7023898	mock	miR994	OK	64.0444	58.8061	-0.123108	-0.386754	0.63015	0.817513	no
FBgn0000054	0.129788101326287	0.565	825	0.475	198	0.363	645	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000054	Adf1-RA,Adf1-RB,Adf1-RC	chr2R:6662264-6668085	mock	miR994	OK	56.5259	58.8398	0.0578817	0.198218	0.80915	0.919528	no
FBgn0000057	0.044643172826296	0.555	1887	0.516	190	0.332	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000057	adp-RA,adp-RB	chr2R:18151703-18154060	mock	miR994	OK	29.6741	26.6379	-0.15572	-0.466885	0.562	0.780222	no
FBgn0000063	-0.394623076136001	0.51	2019	0.33	100	0.273	22	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	FBgn0000063	Mps1-RA,Mps1-RB	chr3R:17671270-17682515	mock	miR994	OK	17.426	19.0026	0.124956	0.12209	0.8739	0.950386	no
