utr_id	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr5p8	utr5p7m8	utr5p7A1	utr5p6	utr5po6	utr5p6A1	orf8	orf7m8	orf7A1	orf6	orfo6	orf6A1	utr8C	utr8G	utr8T	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1	utr5	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2.fold_change.	test_stat	p_value	q_value	significant
FBgn0000008	0.379577280349983	0.575	3990	0.349	876	0.326	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	FBgn0000008	a-RA,a-RB,a-RC,a-RD	chr2R:22136967-22174691	mock	miR1	OK	5.47643	5.74741	0.0696759	0.115601	0.8827	0.958818	no
FBgn0000017	0.587704903996654	0.583	5172	0.456	739	0.344	6908	0	0	0	0	0	1	0	1	0	1	1	2	0	0	0	0	0	0	1	0	0	3	FBgn0000017	Abl-RA,Abl-RB,Abl-RC,Abl-RD,Abl-RE,Abl-RF,Abl-RG,Abl-RH,Abl-RI,Abl-RJ	chr3L:16615865-16647882	mock	miR1	OK	10.8579	8.25787	-0.39491	-1.10355	0.17305	0.514996	no
FBgn0000018	0.0116783007224744	0.506	1620	0.469	81	0.237	93	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	FBgn0000018	abo-RA	chr2L:10973442-10975293	mock	miR1	OK	70.5803	73.0661	0.0499367	0.181782	0.82425	0.943442	no
FBgn0000032	0.0633596511455218	0.511	1368	0.481	81	0.334	440	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	FBgn0000032	Acph-1-RA,Acph-1-RB	chr3R:29991143-29993411	mock	miR1	OK	21.3523	29.1793	0.450552	1.26154	0.1226	0.42948	no
FBgn0000042	0.470642232007151	0.591	1131	0.373	161	0.403	1571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	FBgn0000042	Act5C-RA,Act5C-RB,Act5C-RC,Act5C-RD,Act5C-RE	chrX:5900860-5905399	mock	miR1	OK	2230.91	2855.7	0.356212	1.69584	0.03655	0.215095	no
FBgn0000043	-3.31302893376276	0.554	1131	0.363	135	0.397	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	FBgn0000043	Act42A-RA	chr2R:6013909-6015689	mock	miR1	OK	2919.07	285.556	-3.35366	-15.6787	5e-05	0.00167775	yes
FBgn0000052	0.122059513441745	0.565	4065	0.597	139	0.241	133	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	FBgn0000052	ade2-RA,ade2-RB,ade2-RC	chr2L:6038116-6046050	mock	miR1	OK	60.5916	59.2062	-0.0333676	-0.133263	0.86805	0.955191	no
FBgn0000053	-0.188506808463414	0.569	4062	0.461	193	0.246	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	FBgn0000053	ade3-RA,ade3-RB,ade3-RC	chr2L:7013395-7023898	mock	miR1	OK	63.261	54.0773	-0.226295	-0.700626	0.37845	0.724512	no
FBgn0000054	-0.0505782867159383	0.565	825	0.475	198	0.363	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000054	Adf1-RA,Adf1-RB,Adf1-RC	chr2R:6662264-6668085	mock	miR1	OK	55.8118	53.3941	-0.0638882	-0.2176	0.7855	0.930968	no
FBgn0000057	0.266101219992635	0.555	1887	0.516	190	0.332	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000057	adp-RA,adp-RB	chr2R:18151703-18154060	mock	miR1	OK	29.3284	35.6705	0.282435	0.881716	0.27205	0.638244	no
